input,target,prediction
medizensar,மெடிசென்ஸார்,மெடியென்ர்
nokkiye,நோக்கியே,நோக்கியே
nadanthaalpothum,நடந்தால்போதும்,நடந்தால்போதும்
murlidhar,முர்ளிதர்,முற்றிதர்
malhotra,மல்ஹோத்ரா,மலூற்ற
doorling,டோர்லிங்,தோர்லிக்
appaatal,அப்பாடல்,அப்பாடல்
stanton,ஸ்டன்டான்,ஸ்டாந்தோன்
nerukkam,நெருக்கம்,நெறுக்கம்
aagivitum,ஆகிவிடும்,ஆகிவிடும்
nadhe,நாதே,நதே
uyirmai,உயிர்மை,உயிர்மை
holidays,ஹாலிடேஸ்,ஹோலியயட்
quantumm,குவாண்டம்,கான்டும்ம்
odisha,ஒடிசா,உடிஷா
samayththa,சமைத்த,சமைத்த
ethuvaaka,எதுவாக,எதுவாக
tharavai,தரவை,தரவை
maheshwari,மஹேஸ்வரி,மசேஷ்வரி
vazhi,நல்ல,வழி
rswm,ஆர்எஸ்டபிள்யூஎம்,ஸ்ராவம்
thamiram,தாமிரம்,தம்ரிம
vittuvaiththirundhaar,விட்டுவைத்திருந்தார்,விட்டுவைத்துத்தாரர்
parimaatramum,பரிமாற்றமும்,பரிமார்றமும்
pannum,பண்ணும்,பண்னும்
davangere,தாவங்கரே,தவங்கேரே
theeni,தீனி,தீனி
raymond,ரேமண்ட்,ராயம்ட்டன
visaikalai,விசைகளை,விசைகள்
munger,முங்கர்,மெக்கேர்
vilaiyaadik,விளையாடிக்,விளையாடிக்
chirutai,சீருடை,சிறுடை
paduththiyullathu,படுத்தியுள்ளது,படுத்தியுள்ளது
thandanaiyilirunthu,தண்டனையிலிருந்து,தன்டனையிலிருந்து
alavukatandhdha,அளவுகடந்த,அளவுக்கணத்த
kavalaippadum,கவலைப்படும்,கலலைப்படும்
ivvaiyellaam,இவையெல்லாம்,இவ்வையெல்லாம்
maalik,மாலிக்,மாலிக்
santharppankalai,சந்தர்ப்பங்களை,சந்தர்ப்பங்களை
munmaadhiri,முன்மாதிரி,முன்மாதிிி
puuna,பூனா,புனா
bhalla,பல்லா,பால்ல
mugaamgal,முகாம்கள்,முகம்கள்
garrison,காரிசன்,காரிச்னே
uruyaagak,உறுயாகக்,உருயாகக்
aangalitam,ஆண்களிடம்,ஆங்களிடம்
akzo,அக்சோ,அக்கோ
mumbai,மும்பை,மும்பை
vadikal,வடிகால்,வடிகள்
vealaiyin,வேலையின்,வேலையின்
sundhari,சுந்தரி,சுந்தரி
pogap,போகப்,போக்்
gauuld,கோல்ட்,காலுட்
aadugalil,ஆடுகளில்,ஆடுகளில்
en,ஆன்,ன்
thondriyathaal,தோன்றியதால்,தொன்றியாள்
aggarwal,அகர்வால்,அக்கர்வல்
uruppugalukkum,உறுப்புகளுக்கும்,உருப்புகளுக்கும்
thalangkalil,பிற,தலங்களில்
inaiyaanadhu,இணையானது,இணையானது
himachal,ஹிமாச்சல்,விசசச்்
pakthargal,பக்தா்கள்,பக்தர்கள்
thiruvarangkam,திருவரங்கம்,திருவரங்கம்
uyilil,உயிலில்,உயிலில்
paarppavar,வேலைப்,பார்ப்பவர்
virathanggal,விரதங்கள்,விரதங்கள்
thoatruviththu,தோற்றுவித்து,தோற்றுவிது
sattruth,சற்றுத்,சற்றுத்
bisht,பிஷ்ட்,பிஸ்ட்
matrtravargalaiyum,மற்றவர்களையும்,மற்றவர்களையும்
vattiyai,வட்டியை,வட்டியை
bidar,பிதார்,பிடர்
blue,புளூ,பில்
aandilirunthu,ஆண்டிலிருந்து,ஆண்டிலிருந்து
nathiyaiyum,நதியையும்,நதியையும்
kooppai,கோப்பை,கோப்பை
seyin,செயின்,செயின்
cardenas,கார்டினாஸ்,கார்டேன்
yaddanapudi,யட்டனபுடீ,யட்டனபுடி
aurangabad,அவுரங்காபாத்,ஆரங்கபட்
neettippu,நீட்டிப்பு,நீட்டிப்பு
panigalukku,பணிகளுக்கு,பணிகளுக்கு
perugiyathu,பெருகியது,பெறுகியது
vaakkuruthu,வாக்குறுதி,வாக்குருது
raanuvaththirku,ராணுவத்திற்கு,ராணுவத்திற்கு
adhaavadhu,அதாவது,அதவாது
vidukkappattulathu,விடுக்கப்பட்டுள்ளது,விடுக்கப்பட்டுள்து
imili,எமிலி,இமிலி
amerikkarkal,அமெரிக்கர்கள்,அமெர்க்கர்கள்
maiyamaakavum,மையமாகவும்,மையமாகவும்
paanam,பானம்,பானம்
pilaiyaaka,பிழையாக,பிளையாக
moines,மோன்ஸ்,மோய்னஸ்
yooe,யூ,யீ
chhateja,ச்சடேஜா,சாதேசா
aan,ஆன்,னா்
kaithiyin,கைதியின்,கைதியின்
nokkik,நோக்கிக்,நூக்கிக்
senjchi,செஞ்சி,சென்சி
poruppaettru,பொறுப்பேற்று,பொறுப்பூற்று
glaxosmithkline,க்ளேக்ஸோஸ்மித்க்ளின்,கிலக்மெய்ச்சிட்டி
munechcharikkai,முன்னெச்சரிக்கை,முன்சர்சிக்கை
mugaamai,முகாமை,முகமாய்
kadavulkalin,கடவுள்களின்,கடவுள்களின்
mikkavar,மிக்கவர்,மிக்கவர்
naeyargal,நேயர்கள்,நீயர்கள்
irukkumpoathu,இருக்கும்போது,இறுக்கும்போது
kuutamum,கூட்டமும்,குடமும்
pandri,பன்றி,பன்றி
pithappai,பித்தப்பை,பிதப்பை
vazhikattral,வழிகற்றல்,வழிகற்றள்
thousand,தௌசண்ட்,தோசாந்த
uyarnilaip,உயர்நிலைப்,உயர்நிலைப்
othara,இதர,ஓரத்
peruvathargaaga,பெறுவதற்காக,பெருவதற்காக
kooravum,கூறவும்,கோரவும்
shandilya,ஷான்டில்யா,நாந்திலி
paarppavargalukkaaka,பார்ப்பவர்களுக்காக,பார்ப்பவர்களுக்ககக
